Wort                                  Start         Ende
--------------------------------------------------------
Ja,                            00:00:07.460 00:00:08.040
ein                            00:00:08.160 00:00:08.240
wunderschönen                  00:00:08.240 00:00:08.720
Tag.                           00:00:08.720 00:00:09.080
Die                            00:00:09.440 00:00:09.840
Helden                         00:00:09.840 00:00:10.580
von                            00:00:10.580 00:00:11.120
morgen                         00:00:11.120 00:00:11.480
und                            00:00:11.480 00:00:11.700
von                            00:00:11.700 00:00:11.840
denen                          00:00:11.840 00:00:12.040
brauchen                       00:00:12.040 00:00:12.320
wir                            00:00:12.320 00:00:12.560
ganz                           00:00:12.560 00:00:12.740
viele.                         00:00:12.740 00:00:13.120
Das                            00:00:13.880 00:00:14.060
sind                           00:00:14.060 00:00:14.340
eben                           00:00:14.340 00:00:14.720
die                            00:00:14.720 00:00:15.360
kleinen                        00:00:15.360 00:00:15.620
Kinder                         00:00:15.620 00:00:15.900
und                            00:00:15.900 00:00:16.540
sie                            00:00:16.540 00:00:16.700
werden                         00:00:16.700 00:00:16.980
schon                          00:00:16.980 00:00:17.280
als                            00:00:17.280 00:00:17.580
Helden                         00:00:17.580 00:00:17.920
geboren.                       00:00:17.920 00:00:18.320
Und                            00:00:19.000 00:00:19.200
jetzt                          00:00:19.200 00:00:19.360
kommt                          00:00:19.360 00:00:19.540
die                            00:00:19.540 00:00:19.720
Hirnforschung                  00:00:19.720 00:00:20.320
daher                          00:00:20.320 00:00:20.600
und                            00:00:20.600 00:00:20.900
sagt,                          00:00:20.900 00:00:21.180
in                             00:00:22.360 00:00:22.820
diesen                         00:00:22.820 00:00:23.100
Kindern                        00:00:23.100 00:00:23.360
ist                            00:00:23.360 00:00:23.620
viel                           00:00:23.620 00:00:23.940
mehr                           00:00:23.940 00:00:24.200
angelegt                       00:00:24.200 00:00:24.820
als                            00:00:24.820 00:00:25.580
wir                            00:00:25.580 00:00:25.780
uns                            00:00:25.780 00:00:25.980
bisher                         00:00:25.980 00:00:26.280
vorstellen                     00:00:26.280 00:00:26.620
konnten.                       00:00:26.620 00:00:27.060
Wie                            00:00:27.440 00:00:27.560
Sie                            00:00:27.560 00:00:27.620
haben                          00:00:27.620 00:00:27.740
immer                          00:00:27.740 00:00:28.000
gedacht,                       00:00:28.000 00:00:28.240
die                            00:00:28.500 00:00:28.600
genetischen                    00:00:28.600 00:00:29.140
Programme                      00:00:29.140 00:00:29.640
schrauben,                     00:00:29.640 00:00:30.000
die                            00:00:30.160 00:00:30.160
hier                           00:00:30.160 00:00:30.300
so                             00:00:30.300 00:00:30.500
mit                            00:00:30.500 00:00:30.860
diesen                         00:00:30.860 00:00:31.120
Vernetzungen                   00:00:31.120 00:00:31.660
auf                            00:00:31.660 00:00:31.860
irgendeine                     00:00:31.860 00:00:32.200
Art                            00:00:32.200 00:00:32.340
und                            00:00:32.340 00:00:32.460
Weise                          00:00:32.460 00:00:32.680
zusammen.                      00:00:32.680 00:00:33.060
Und                            00:00:33.960 00:00:34.060
jetzt                          00:00:34.060 00:00:34.200
stellt                         00:00:34.200 00:00:34.380
sich                           00:00:34.380 00:00:34.560
heraus,                        00:00:34.560 00:00:34.820
die                            00:00:34.980 00:00:35.040
genetischen                    00:00:35.040 00:00:35.460
Programme                      00:00:35.460 00:00:35.880
sind                           00:00:35.880 00:00:36.040
viel                           00:00:36.040 00:00:36.260
schlauer.                      00:00:36.260 00:00:36.640
Die                            00:00:37.420 00:00:37.680
