filename,source,frame_start,frame_end,time_start,time_end,clip_seconds,fps,detected_rate
0NV1KdWRHck_clip_0000.pickle,0NV1KdWRHck.pickle,288,408,0:12.00,0:17.00,5.0,24.0,0.95
0NV1KdWRHck_clip_0001.pickle,0NV1KdWRHck.pickle,408,528,0:17.00,0:22.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0002.pickle,0NV1KdWRHck.pickle,528,648,0:22.00,0:27.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0003.pickle,0NV1KdWRHck.pickle,648,768,0:27.00,0:32.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0004.pickle,0NV1KdWRHck.pickle,768,888,0:32.00,0:37.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0005.pickle,0NV1KdWRHck.pickle,888,1008,0:37.00,0:42.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0006.pickle,0NV1KdWRHck.pickle,1008,1128,0:42.00,0:47.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0007.pickle,0NV1KdWRHck.pickle,1128,1248,0:47.00,0:52.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0008.pickle,0NV1KdWRHck.pickle,1248,1368,0:52.00,0:57.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0009.pickle,0NV1KdWRHck.pickle,1368,1488,0:57.00,1:02.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0010.pickle,0NV1KdWRHck.pickle,1488,1608,1:02.00,1:07.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0011.pickle,0NV1KdWRHck.pickle,1608,1728,1:07.00,1:12.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0012.pickle,0NV1KdWRHck.pickle,1728,1848,1:12.00,1:17.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0013.pickle,0NV1KdWRHck.pickle,1848,1968,1:17.00,1:22.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0014.pickle,0NV1KdWRHck.pickle,1968,2088,1:22.00,1:27.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0015.pickle,0NV1KdWRHck.pickle,2088,2208,1:27.00,1:32.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0016.pickle,0NV1KdWRHck.pickle,2208,2328,1:32.00,1:37.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0017.pickle,0NV1KdWRHck.pickle,2328,2448,1:37.00,1:42.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0018.pickle,0NV1KdWRHck.pickle,2448,2568,1:42.00,1:47.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0019.pickle,0NV1KdWRHck.pickle,2568,2688,1:47.00,1:52.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0020.pickle,0NV1KdWRHck.pickle,2688,2808,1:52.00,1:57.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0021.pickle,0NV1KdWRHck.pickle,2808,2928,1:57.00,2:02.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0022.pickle,0NV1KdWRHck.pickle,2928,3048,2:02.00,2:07.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0023.pickle,0NV1KdWRHck.pickle,3048,3168,2:07.00,2:12.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0024.pickle,0NV1KdWRHck.pickle,3168,3288,2:12.00,2:17.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0025.pickle,0NV1KdWRHck.pickle,3288,3408,2:17.00,2:22.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0026.pickle,0NV1KdWRHck.pickle,3408,3528,2:22.00,2:27.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0027.pickle,0NV1KdWRHck.pickle,3528,3648,2:27.00,2:32.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0028.pickle,0NV1KdWRHck.pickle,3648,3768,2:32.00,2:37.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0029.pickle,0NV1KdWRHck.pickle,3768,3888,2:37.00,2:42.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0030.pickle,0NV1KdWRHck.pickle,3888,4008,2:42.00,2:47.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0031.pickle,0NV1KdWRHck.pickle,4008,4128,2:47.00,2:52.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0032.pickle,0NV1KdWRHck.pickle,4128,4248,2:52.00,2:57.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0033.pickle,0NV1KdWRHck.pickle,4248,4368,2:57.00,3:02.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0034.pickle,0NV1KdWRHck.pickle,4368,4488,3:02.00,3:07.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0035.pickle,0NV1KdWRHck.pickle,4488,4608,3:07.00,3:12.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0036.pickle,0NV1KdWRHck.pickle,4608,4728,3:12.00,3:17.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0037.pickle,0NV1KdWRHck.pickle,4728,4848,3:17.00,3:22.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0038.pickle,0NV1KdWRHck.pickle,4848,4968,3:22.00,3:27.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0039.pickle,0NV1KdWRHck.pickle,4968,5088,3:27.00,3:32.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0040.pickle,0NV1KdWRHck.pickle,5088,5208,3:32.00,3:37.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0041.pickle,0NV1KdWRHck.pickle,5208,5328,3:37.00,3:42.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0042.pickle,0NV1KdWRHck.pickle,5328,5448,3:42.00,3:47.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0043.pickle,0NV1KdWRHck.pickle,5448,5568,3:47.00,3:52.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0044.pickle,0NV1KdWRHck.pickle,5568,5688,3:52.00,3:57.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0045.pickle,0NV1KdWRHck.pickle,5688,5808,3:57.00,4:02.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0046.pickle,0NV1KdWRHck.pickle,5808,5928,4:02.00,4:07.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0047.pickle,0NV1KdWRHck.pickle,5928,6048,4:07.00,4:12.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0048.pickle,0NV1KdWRHck.pickle,6048,6168,4:12.00,4:17.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0049.pickle,0NV1KdWRHck.pickle,6168,6288,4:17.00,4:22.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0050.pickle,0NV1KdWRHck.pickle,6288,6408,4:22.00,4:27.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0051.pickle,0NV1KdWRHck.pickle,6408,6528,4:27.00,4:32.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0052.pickle,0NV1KdWRHck.pickle,6528,6648,4:32.00,4:37.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0053.pickle,0NV1KdWRHck.pickle,6648,6768,4:37.00,4:42.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0054.pickle,0NV1KdWRHck.pickle,6768,6888,4:42.00,4:47.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0055.pickle,0NV1KdWRHck.pickle,6888,7008,4:47.00,4:52.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0056.pickle,0NV1KdWRHck.pickle,7008,7128,4:52.00,4:57.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0057.pickle,0NV1KdWRHck.pickle,7128,7248,4:57.00,5:02.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0058.pickle,0NV1KdWRHck.pickle,7248,7368,5:02.00,5:07.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0059.pickle,0NV1KdWRHck.pickle,7368,7488,5:07.00,5:12.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0060.pickle,0NV1KdWRHck.pickle,7488,7608,5:12.00,5:17.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0061.pickle,0NV1KdWRHck.pickle,7608,7728,5:17.00,5:22.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0062.pickle,0NV1KdWRHck.pickle,7728,7848,5:22.00,5:27.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0063.pickle,0NV1KdWRHck.pickle,7848,7968,5:27.00,5:32.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0064.pickle,0NV1KdWRHck.pickle,7968,8088,5:32.00,5:37.00,5.0,24.0,1.0
0NV1KdWRHck_clip_0065.pickle,0NV1KdWRHck.pickle,8088,8208,5:37.00,5:42.00,5.0,24.0,1.0
